returned_spotify_id,spotify_name,followers,monthly_listeners,mapping_tier,fua_code,study_city_label,population
72VzFto8DYvKHocaHYNWSi,Hot Chocolate,393132,5017699,strict,UK001F,London,12274097
2m62cc253Xvd9qYQ8d2X3d,The Alan Parsons Project,1804870,4991688,strict,UK004F,Glasgow,1831890
3jNkaOXasoc7RsxdchvEVq,Chase & Status,1285130,4913546,strict,UK001F,London,12274097
3w4VAlllkAWI6m0AV0Gn6a,Hurts,380397,4854547,strict,UK008F,Manchester,3432092
0TcYeHEK9sBtv7xPbKhzHz,Chumbawamba,225650,4700579,strict,UK050F,Burnley,190553
0uAjBatvB4ubpd4kCfjmNt,A Flock Of Seagulls,774464,4670482,strict,UK006F,Liverpool,1540817
72X6FHxaShda0XeQw3vbeF,Slowdive,1560399,4658345,strict,UK552F,Reading,351602
0sHeX8oQ6o7xic3wMf4NBU,Supergrass,719253,4645328,reviewed_extended,UK560F,Oxford,576725
74oJ4qxwOZvX6oSsu1DGnw,Cream,2788886,4518268,strict,UK001F,London,12274097
1DFr97A9HnbV3SKTJFu62M,Motörhead,4680274,4453633,strict,UK001F,London,12274097
7AC976RDJzL2asmZuz7qil,Yes,2203167,4447983,strict,UK001F,London,12274097
6fvN9GmMCVKb5LY0WsnjFP,Nazareth,1724966,4341186,reviewed_extended,UK007F,Edinburgh,893610
6FQqZYVfTNQ1pCqfkwVFEa,Foals,1504353,4201622,strict,UK560F,Oxford,576725
4GITZM5LCR2KcdlgEOrNLD,The Foundations,169026,4165829,strict,UK001F,London,12274097
3CjlHNtplJyTf9npxaPl5w,CHVRCHES,1434807,4152413,strict,UK004F,Glasgow,1831890
432R46LaYsJZV2Gmc4jUV5,Joy Division,2965374,4140711,strict,UK008F,Manchester,3432092
3M4ThdJR28z9eSMcQHAZ5G,The Fratellis,958629,4131358,strict,UK004F,Glasgow,1831890
2tRsMl4eGxwoNabM08Dm4I,Judas Priest,4744039,4112763,strict,UK002F,Birmingham,3135994
3dBVyJ7JuOMt4GE9607Qin,T. Rex,1266989,4010971,strict,UK001F,London,12274097
54QMjE4toDfiCryzYWCpXX,Metronomy,1135985,3971668,strict,UK516F,Plymouth,411409
7Fo8TAyGJr4VmhE68QamMf,Talk Talk,712227,3944807,strict,UK001F,London,12274097
3sc7iUG1Wwpwx7bHeZolgx,Bananarama,929042,3805410,strict,UK001F,London,12274097
1PXHzxRDiLnjqNrRn2Xbsa,Underworld,827351,3783264,strict,UK001F,London,12274097
2yEkZBBjhzKzt6LF5XMaFi,Blue,822804,3677775,strict,UK001F,London,12274097
11wRdbnoYqRddKBrpHt4Ue,Kasabian,1926968,3649101,strict,UK014F,Leicester,922812
5AEG63ajney2BoDXi0Vb84,Bad Company,1458078,3616192,strict,UK001F,London,12274097
4AYkFtEBnNnGuoo8HaHErd,Madness,912052,3611935,strict,UK001F,London,12274097
1kDGbuxWknIKx4FlgWxiSp,Nothing But Thieves,1421470,3587725,strict,UK001F,London,12274097
3btzEQD6sugImIHPMRgkwV,Wolf Alice,973763,3575621,strict,UK001F,London,12274097
1v5bOzXbhrQ57qSvRwGA6s,The Irrepressibles,266977,3531545,strict,UK001F,London,12274097
1lYT0A0LV5DUfxr6doRP3d,The Stone Roses,1863145,3488308,strict,UK008F,Manchester,3432092
057gc1fxmJ2vkctjQJ7Tal,The Buggles,190767,3487007,strict,UK001F,London,12274097
6RZUqkomCmb8zCRqc9eznB,Placebo,2201483,3460472,strict,UK001F,London,12274097
4nlqDmbzFzbNITaqjJv7D7,The Sundays,684291,3421091,strict,UK001F,London,12274097
7wJ9NwdRWtN92NunmXuwBk,Orchestral Manoeuvres In The Dark,949812,3287803,strict,UK006F,Liverpool,1540817
5WWSL6rElJeUk3Uc1S2RyD,Dead Or Alive,490402,3275455,strict,UK006F,Liverpool,1540817
67tgMwUfnmqzYsNAtnP6YJ,Groove Armada,783480,3267951,strict,UK001F,London,12274097
1inWec2E2UgfzMAhwjgTXe,Generation X,181331,3158701,strict,UK001F,London,12274097
1G1mX30GpUJqOr1QU2eBSs,Yazoo,802850,3044119,strict,UK001F,London,12274097
3MM8mtgFzaEJsqbjZBSsHJ,Bloc Party,1261856,3039480,strict,UK001F,London,12274097
4VNQWV2y1E97Eqo2D5UTjx,Gorgon City,552337,3028602,strict,UK001F,London,12274097
7rZNSLWMjTbwdLNskFbzFf,Sugababes,758443,3027300,strict,UK001F,London,12274097
3ZztVuWxHzNpl0THurTFCv,Architects,1369211,3025569,strict,UK515F,Brighton and Hove,441252
0LbLWjaweRbO4FDKYlbfNt,Kaiser Chiefs,1422089,2999896,strict,UK003F,Leeds,2969034
4YrKBkKSVeqDamzBPWVnSJ,Basement Jaxx,623916,2938717,strict,UK001F,London,12274097
6edGSAX5dVpeJVwu1Q0NwJ,Lighthouse Family,660194,2921952,strict,UK013F,Newcastle,1173303
3lDpdwM8KILepMHqBWUhIA,The Struts,468353,2895181,strict,UK518F,Derby,495753
0Ya43ZKWHTKkAbkoJJkwIB,The Wombats,1143548,2884656,strict,UK006F,Liverpool,1540817
3bUwxJgNakzYKkqAVgZLlh,Travis,1176704,2884486,strict,UK004F,Glasgow,1831890
5KORW1YGiERJqfuYjXMCyz,Mattafix,113982,2878488,strict,UK001F,London,12274097
