popularity_rank,returned_spotify_id,spotify_name,wikidata_qid,followers,monthly_listeners,enwiki_title,pageview_status,pageviews_total,pageview_months,mapping_tier,fua_code,study_city_label,mapped_fua,log10_followers,log10_pageviews,expected_log10_pageviews,attention_residual_log10,follower_rank,pageview_rank
569,4W2dcPOyD7eSfJCPHCfwoA,Living In A Box,Q1866528,94130,223338,Living in a Box,ok,65455,12,strict,UK010F,Sheffield,True,4.973728058688027,4.815942827196474,4.589933600370438,0.22600922682603564,585.0,464.0
570,3SUI6pbPumjijbLHHY6vss,The Temperance Movement,Q14957024,80272,223097,The Temperance Movement (band),ok,19986,12,excluded_no_defensible_fua,,,False,4.904564083683677,4.30072588307482,4.540475761776944,-0.23974987870212328,631.0,715.0
571,6DKmuXxXASTF6xaJwcTfjv,Spiritualized,Q1144015,285400,222247,Spiritualized,ok,93583,12,strict,UK025F,Coventry,True,5.455453968778628,4.971196963302861,4.934406605371473,0.03679035793138841,339.0,385.0
572,3LtBdgNHdH0Ix8hCFZ4NJG,Blancmange,Q594199,123820,221240,Blancmange (band),ok,110982,12,strict,UK001F,London,True,5.092790799676886,5.045252546943613,4.6750730942464855,0.37017945269712715,524.0,339.0
573,2H32fphWQj9hhVuCOKkchM,The Nolans,Q1038777,39473,217117,The Nolans,ok,149128,12,excluded_non_uk,,,False,4.59630013460261,5.173559193445142,4.320042094728664,0.8535170987164777,779.0,267.0
574,2KB6LGMBaOYYYdvvgyptFH,Utah Saints,Q2036827,53925,216105,Utah Saints,ok,50850,12,excluded_no_defensible_fua,,,False,4.731790153774583,4.706290957258763,4.41692842173366,0.28936253552510305,715.0,531.0
575,3mZqziCJj4pq3P2VBpmK6p,Friendly Fires,Q1464530,235528,215715,Friendly Fires,ok,21150,12,strict,UK001F,London,True,5.372042544257478,4.325310371711061,4.874760687528246,-0.5494503158171851,384.0,708.0
576,5gS1uXayWA0WJPgcRqNIae,Jon & Vangelis,Q1538236,216463,215210,,not_captured,0,0,excluded_no_defensible_fua,,,False,,,,,,
577,5wnhqlZzXIq8aO9awQO2ND,Coldcut,Q698224,66493,214514,Coldcut,ok,31015,12,excluded_no_defensible_fua,,,False,4.822775927688251,4.491571785500986,4.481990612277846,0.009581173223139672,669.0,643.0
578,2SRIVGDkdqQnrQdaXxDkJt,Haken,Q774774,248459,213215,Haken (band),ok,78341,12,strict,UK001F,London,True,5.395254732937234,4.893989110889535,4.891359280669443,0.002629830220092444,373.0,426.0
