popularity_rank,returned_spotify_id,spotify_name,wikidata_qid,monthly_listeners,followers,wikidata_name,inception_year,genre_qids,genre_labels,genre_families,record_label_qids,record_label_names,member_qids,member_names,enwiki_title,mapping_tier,fua_code,study_city_label,population,mapped_fua,has_genre,has_inception_year,formation_decade
516,1DlbW0TOOja6uqR4CHAaeg,Grace,Q5590943,266321,9154,Grace,,Q170611,techno,Electronic and dance,Q1653030,Perfecto Records,,,Grace (group),excluded_no_defensible_fua,,,,False,True,False,
517,7KnaZr690xW0sCihF9Z8oP,lostprophets,Q18852,264396,179652,Lostprophets,1997.0,Q11366|Q20378|Q263734|Q3071|Q487914,alternative metal|alternative rock|nu metal|pop-punk|punk rock,Metal|Punk and new wave|Rock and indie,Q1399294|Q183387|Q2093972|Q216364|Q330629,Columbia Records|Epic Records|Fearless Records|Sony Music|Visible Noise,Q1407544|Q2099688|Q23696663|Q2386801|Q6702073,Ian Watkins|Lee Gaze|Luke Johnson|Mike Lewis|Stuart Richardson,Lostprophets,strict,UK009F,Cardiff,905859.0,True,True,True,1990
518,5fEKZRCUa0JApec5Xy095q,Moose Blood,Q18712447,263954,194936,Moose Blood,2011.0,Q11366|Q3071,alternative rock|punk rock,Punk and new wave|Rock and indie,Q3877531,No Sleep Records,,,Moose Blood,excluded_no_defensible_fua,,,,False,True,True,2010
519,194g4SFwSSzyPtgkH7v3Cx,After The Fire,Q389095,261736,24888,After the Fire,1971.0,Q187760|Q49451,new wave|progressive rock,Punk and new wave|Rock and indie,Q183387,Columbia Records,,,After the Fire,strict,UK001F,London,12274097.0,True,True,True,1970
520,52K4ArhA4OgMO7AsyEgqCT,Bow Wow Wow,Q895390,261338,131599,Bow Wow Wow,1980.0,Q187760,new wave,Punk and new wave,Q3629023,EMI Records,Q6519584,Leigh Gorman,Bow Wow Wow,strict,UK001F,London,12274097.0,True,True,True,1980
521,2qsc1hUhG2UrNZhByveJ6x,Danny Wilson,Q365099,260573,29191,Danny Wilson,1984.0,Q264289|Q37073,pop music|sophisti-pop,"Pop, soul and R&B",Q203059,Virgin Records,Q5524849,Gary Clark,Danny Wilson (band),excluded_no_defensible_fua,,,,False,True,True,1980
522,231kUXNyI5BYxIvZacVbCu,Levitation,Q6535703,260389,7922,Levitation,1990.0,Q11366|Q183504|Q206159,alternative rock|indie rock|psychedelic rock,Rock and indie,Q385558,Rough Trade,Q15489014,Terry Bickers,Levitation (band),strict,UK001F,London,12274097.0,True,True,True,1990
523,5HAtRoEPUvGSA7ziTGB1cF,The Orb,Q924993,260320,214298,The Orb,1988.0,Q170611|Q193207|Q212688|Q2465085|Q660984|Q817138|Q9149801,ambient house|ambient music|ambient techno|dub music|electronica|intelligent dance music|techno,Electronic and dance|Other genres,Q183387|Q190585|Q264137|Q4905961|Q564432,Big Life|Caroline Records|Columbia Records|Island Records|Kompakt,Q352854|Q4717608|Q4760837|Q5605106|Q6437304|Q7519536,Alex Paterson|Andy Hughes|Jimmy Cauty|Kris Weston|Simon Phillips|Thomas Fehlmann,The Orb,strict,UK001F,London,12274097.0,True,True,True,1980
524,3cqIsBnzV3BabbPWKz8Txf,Mud,Q1471676,259860,92756,Mud,1968.0,Q37073|Q76092,glam rock|pop music,"Pop, soul and R&B|Rock and indie",Q478062,RAK,Q7340069,Rob Davis,Mud (band),strict,UK001F,London,12274097.0,True,True,True,1960
525,4UwR1ir6PovnQiwX5jRPvF,Anti Up,Q113199573,259333,52163,Anti Up,2018.0,,,,,,Q5107266|Q958543,Chris Lake|Chris Lorenzo,,excluded_no_defensible_fua,,,,False,False,True,2010
526,3IXtskFMls8KXRipcIJT9y,AS IT IS,Q19654688,259244,161720,As It Is,2012.0,Q11366,alternative rock,Rock and indie,Q1399294,Fearless Records,,,As It Is (band),excluded_no_defensible_fua,,,,False,True,True,2010
527,3Z7thZHrtFvqp8OpPffPKp,Propellerheads,Q1426055,258314,173478,Propellerheads,,Q817138|Q858579,big beat|electronica,Electronic and dance|Other genres,Q976267,Wall of Sound,,,Propellerheads,excluded_no_defensible_fua,,,,False,True,False,
528,3cohAS2UQTaOo80kCn8qjT,Ten Fé,Q56757496,257636,50901,Ten Fé,,Q183504|Q37073,indie rock|pop music,"Pop, soul and R&B|Rock and indie",,,,,,excluded_no_defensible_fua,,,,False,True,False,
529,2qV7axHq9Jk7QqFcB3f05A,The Zutons,Q1142296,254373,160719,The Zutons,2001.0,Q183504,indie rock,Rock and indie,Q5254811,Deltasonic,Q10376127|Q11774380|Q12051197|Q3942885|Q47542125,Abi Harding|Boyan Chowdhury|Dave McCabe|Russell Pritchard|Sean Payne,The Zutons,strict,UK006F,Liverpool,1540817.0,True,True,True,2000
530,5ZfzzHE7rxONfoksJsLXrX,Bucks Fizz,Q839831,252247,70385,Bucks Fizz,1981.0,Q37073,pop music,"Pop, soul and R&B",Q50074604,RCA,,,Bucks Fizz,excluded_no_defensible_fua,,,,False,True,True,1980
531,7sYipTRgDXS2JVOPEhRutx,Portico Quartet,Q3399302,251925,213988,Portico Quartet,2005.0,Q8341,jazz,Other genres,Q2479745|Q56248515,Babel Label|Gondwana Records,Q124733783|Q124733799|Q124733812|Q124733900|Q16732992,Duncan Bellamy|Jack Wylie|Keir Vine|Milo Fitzpatrick|Nick Mulvey,Portico Quartet,strict,UK001F,London,12274097.0,True,True,True,2000
532,6fVcDUckTwxqg56qNsEvUr,Frightened Rabbit,Q1464866,251709,255039,Frightened Rabbit,2003.0,Q1317816|Q183504,indie folk|indie rock,Other genres|Rock and indie,,,Q16730001|Q16933593,Grant Hutchison|Scott Hutchison,Frightened Rabbit,excluded_no_defensible_fua,,,,False,True,True,2000
533,7GeAzBsalYANXTi1ReOm1R,Stanton Warriors,Q7600283,251667,70322,Stanton Warriors,,Q663519,breakbeat,Other genres,,,,,Stanton Warriors,excluded_no_defensible_fua,,,,False,True,False,
534,7EFB09NxZrMi9pGlOnuBpd,The Horrors,Q1138555,251304,296621,The Horrors,2005.0,Q183504|Q3071|Q485395,gothic rock|indie rock|punk rock,Punk and new wave|Rock and indie,Q1123947|Q2082494,In the Red|XL Recordings,Q2577111,Faris Badwan,The Horrors,strict,UK001F,London,12274097.0,True,True,True,2000
