popularity_rank,band_name,spotify_id,wikidata_qid,followers,monthly_listeners,mapping_tier,fua_code,study_city_label,mapped_fua,musicbrainz_covered,wikidata_label_covered,network_degree,member_degree,label_degree,internal_degree,connected,member_connected,label_connected
152,The Buggles,057gc1fxmJ2vkctjQJ7Tal,Q201568,190767,3487007,strict,UK001F,London,True,True,True,39,1,38,24,True,True,True
153,Placebo,6RZUqkomCmb8zCRqc9eznB,Q484839,2201483,3460472,strict,UK001F,London,True,True,True,62,0,62,32,True,False,True
154,The Sundays,4nlqDmbzFzbNITaqjJv7D7,Q3122789,684291,3421091,strict,UK001F,London,True,True,True,10,0,10,5,True,False,True
155,Orchestral Manoeuvres In The Dark,7wJ9NwdRWtN92NunmXuwBk,Q956500,949812,3287803,strict,UK006F,Liverpool,True,True,True,34,0,34,2,True,False,True
156,Dead Or Alive,5WWSL6rElJeUk3Uc1S2RyD,Q368961,490402,3275455,strict,UK006F,Liverpool,True,True,True,31,0,31,1,True,False,True
157,Groove Armada,67tgMwUfnmqzYsNAtnP6YJ,Q117522,783480,3267951,strict,UK001F,London,True,True,True,40,0,40,22,True,False,True
159,Generation X,1inWec2E2UgfzMAhwjgTXe,Q1157004,181331,3158701,strict,UK001F,London,True,True,True,22,3,19,11,True,True,True
160,BICEP,73A3bLnfnz5BoQjb4gNCga,Q28855240,673233,3141387,strict,UK012F,Belfast,True,False,True,0,0,0,0,False,False,False
161,Yazoo,1G1mX30GpUJqOr1QU2eBSs,Q1410055,802850,3044119,strict,UK001F,London,True,True,True,7,1,7,4,True,True,True
162,Bloc Party,3MM8mtgFzaEJsqbjZBSsHJ,Q205838,1261856,3039480,strict,UK001F,London,True,True,True,33,1,32,16,True,True,True
163,Gorgon City,4VNQWV2y1E97Eqo2D5UTjx,Q16839700,552337,3028602,strict,UK001F,London,True,True,True,2,0,2,1,True,False,True
164,Sugababes,7rZNSLWMjTbwdLNskFbzFf,Q193697,758443,3027300,strict,UK001F,London,True,True,True,65,1,64,36,True,True,True
165,Architects,3ZztVuWxHzNpl0THurTFCv,Q620454,1369211,3025569,strict,UK515F,Brighton and Hove,True,True,True,6,1,5,0,True,True,True
166,Kaiser Chiefs,0LbLWjaweRbO4FDKYlbfNt,Q192308,1422089,2999896,strict,UK003F,Leeds,True,True,True,52,0,52,0,True,False,True
168,Basement Jaxx,4YrKBkKSVeqDamzBPWVnSJ,Q544018,623916,2938717,strict,UK001F,London,True,True,True,26,0,26,17,True,False,True
169,Roxy Music,3fhOTtm0LBJ3Ojn4hIljLo,Q334648,1153536,2932733,strict,UK001F,London,True,False,True,133,0,133,71,True,False,True
170,Lighthouse Family,6edGSAX5dVpeJVwu1Q0NwJ,Q707351,660194,2921952,strict,UK013F,Newcastle,True,True,True,11,0,11,0,True,False,True
171,The Struts,3lDpdwM8KILepMHqBWUhIA,Q17587679,468353,2895181,strict,UK518F,Derby,True,True,True,9,0,9,0,True,False,True
172,The Wombats,0Ya43ZKWHTKkAbkoJJkwIB,Q1347289,1143548,2884656,strict,UK006F,Liverpool,True,True,True,0,0,0,0,False,False,False
173,Travis,3bUwxJgNakzYKkqAVgZLlh,Q160103,1176704,2884486,strict,UK004F,Glasgow,True,True,True,30,0,30,1,True,False,True
174,Mattafix,5KORW1YGiERJqfuYjXMCyz,Q21075,113982,2878488,strict,UK001F,London,True,True,True,27,0,27,15,True,False,True
175,Royal Blood,2S5hlvw4CMtMGswFtfdK15,Q16632343,1759451,2873864,strict,UK045F,Worthing,True,True,True,29,0,29,0,True,False,True
176,Free,2e53aHBQdCMKWqHDuyJsjC,Q45650,631085,2860415,strict,UK001F,London,True,True,True,52,2,51,30,True,True,True
177,London Grammar,3Bd1cgCjtCI32PYvDC3ynO,Q14557360,1695264,2832139,strict,UK029F,Nottingham,True,True,True,40,0,40,1,True,False,True
178,Pulp,36E7oYfz3LLRto6l2WmDcD,Q504464,1164307,2830863,strict,UK010F,Sheffield,True,True,True,39,1,38,2,True,True,True
179,The Heavy,0bZCak2tcRMY1dzEIuwF42,Q181241,516287,2796068,strict,UK031F,Bath and North East Somerset,True,True,True,6,0,6,0,True,False,True
180,Neck Deep,2TM0qnbJH4QPhGMCdPt7fH,Q16955493,1843051,2790501,strict,UK022F,Wrexham,True,True,True,0,0,0,0,False,False,False
181,DNA,2rGm8R7YDTbqDCVlNssQyL,Q1154629,18304,2774617,strict,UK031F,Bath and North East Somerset,True,True,True,0,0,0,0,False,False,False
