band_a,city_a,band_b,city_b,shared_members,shared_member_count,shared_labels,shared_label_count,connection_count,same_city
Orchestral Manoeuvres In The Dark,Liverpool,Starsailor,Manchester,,0,Virgin Records,1,1,False
Orchestral Manoeuvres In The Dark,Liverpool,The Durutti Column,Manchester,,0,Factory Records,1,1,False
Orchestral Manoeuvres In The Dark,Liverpool,The Human League,Sheffield,,0,Virgin Records,1,1,False
Orchestral Manoeuvres In The Dark,Liverpool,The Kooks,Brighton and Hove,,0,Virgin Records,1,1,False
Orchestral Manoeuvres In The Dark,Liverpool,The Lightning Seeds,Liverpool,,0,Virgin Records,1,1,True
Orchestral Manoeuvres In The Dark,Liverpool,The Rolling Stones,London,,0,Virgin Records,1,1,False
Orchestral Manoeuvres In The Dark,Liverpool,The Specials,Coventry,,0,Virgin Records,1,1,False
Orchestral Manoeuvres In The Dark,Liverpool,The Wake,Glasgow,,0,Factory Records,1,1,False
Orchestral Manoeuvres In The Dark,Liverpool,XTC,Swindon,,0,Virgin Records,1,1,False
Orchestral Manoeuvres In The Dark,Liverpool,You Me At Six,London,,0,Virgin Records,1,1,False
Osibisa,London,The Damned,London,,0,Bronze,1,1,True
Osibisa,London,Uriah Heep,London,,0,Bronze,1,1,True
Oxide & Neutrino,London,Rialto,London,,0,East West Records,1,1,True
Oxide & Neutrino,London,Simply Red,Manchester,,0,East West Records,1,1,False
Oxide & Neutrino,London,The Human League,Sheffield,,0,East West Records,1,1,False
Pale Waves,Manchester,Sugababes,London,,0,Interscope Records,1,1,False
Pale Waves,Manchester,The Fratellis,Glasgow,,0,Interscope Records,1,1,False
Pale Waves,Manchester,The Rolling Stones,London,,0,Interscope Records,1,1,False
Pale Waves,Manchester,The Struts,Derby,,0,Interscope Records,1,1,False
Paper Lace,Nottingham,Rainbow,London,,0,Polydor Records,1,1,False
Paper Lace,Nottingham,Shed Seven,York,,0,Polydor Records,1,1,False
Paper Lace,Nottingham,Siouxsie and the Banshees,London,,0,Polydor Records,1,1,False
Paper Lace,Nottingham,Slade,Birmingham,,0,Polydor Records,1,1,False
Paper Lace,Nottingham,Talk Talk,London,,0,Polydor Records,1,1,False
Paper Lace,Nottingham,The 1975,Manchester,,0,Polydor Records,1,1,False
Paper Lace,Nottingham,The Beatles,Liverpool,,0,Polydor Records,1,1,False
Paper Lace,Nottingham,The Cure,Crawley,,0,Polydor Records,1,1,False
Paper Lace,Nottingham,The Jam,London,,0,Polydor Records,1,1,False
Paper Lace,Nottingham,The Moody Blues,Birmingham,,0,Polydor Records,1,1,False
Paper Lace,Nottingham,The Rolling Stones,London,,0,Polydor Records,1,1,False
Paper Lace,Nottingham,The Saturdays,London,,0,Polydor Records,1,1,False
Paper Lace,Nottingham,The Style Council,London,,0,Polydor Records,1,1,False
Paper Lace,Nottingham,The Sweet,London,,0,Polydor Records,1,1,False
Paper Lace,Nottingham,The Who,London,,0,Polydor Records,1,1,False
Paper Lace,Nottingham,The Wonder Stuff,Birmingham,,0,Polydor Records,1,1,False
Paradise Lost,Leeds,TesseracT,Milton Keynes,,0,Century Media Records,1,1,False
Pentangle,London,Procol Harum,London,,0,Reprise Records,1,1,True
Pentangle,London,Red Box,London,,0,Warner Bros. Records,1,1,True
Pentangle,London,Royal Blood,Brighton and Hove,,0,Warner Bros. Records,1,1,False
Pentangle,London,Sex Pistols,London,,0,Warner Bros. Records,1,1,True
Pentangle,London,T. Rex,London,,0,Reprise Records,1,1,True
Pentangle,London,The Blue Nile,Glasgow,,0,Warner Bros. Records,1,1,False
Pentangle,London,The Dream Academy,London,,0,Warner Bros. Records,1,1,True
Pentangle,London,The Kinks,London,,0,Reprise Records,1,1,True
Pentangle,London,The Overtones,London,,0,Warner Bros. Records,1,1,True
Pentangle,London,The Pretty Things,London,,0,Warner Bros. Records,1,1,True
Pentangle,London,The Smiths,Manchester,,0,Warner Bros. Records,1,1,False
Pentangle,London,The Who,London,,0,Warner Bros. Records,1,1,True
Pentangle,London,Thompson Twins,Sheffield,,0,Warner Bros. Records,1,1,False
Pentangle,London,Uriah Heep,London,,0,Warner Bros. Records,1,1,True
Pentangle,London,Wizzard,Birmingham,,0,Warner Bros. Records,1,1,False
Pet Shop Boys,London,Pink Floyd,London,,0,Parlophone,1,1,True
Pet Shop Boys,London,Queen,London,,0,Parlophone,1,1,True
Pet Shop Boys,London,Radiohead,Oxford,,0,Parlophone,1,1,False
Pet Shop Boys,London,Supergrass,Oxford,,0,Parlophone,1,1,False
Pet Shop Boys,London,Talk Talk,London,,0,Parlophone,1,1,True
Pet Shop Boys,London,The Beatles,Liverpool,,0,Parlophone,1,1,False
Pet Shop Boys,London,The Hollies,Manchester,,0,Parlophone,1,1,False
Piano Magic,London,Stereolab,London,,0,4AD,1,1,True
Piano Magic,London,Stornoway,Oxford,,0,4AD,1,1,False
Piano Magic,London,The Big Pink,London,,0,4AD,1,1,True
Piano Magic,London,Tones On Tail,Northampton,,0,4AD,1,1,False
Pilot,Edinburgh,Queen,London,,0,EMI Records,1,1,False
Pilot,Edinburgh,Sex Pistols,London,,0,EMI Records,1,1,False
Pilot,Edinburgh,The Kooks,Brighton and Hove,,0,EMI Records,1,1,False
Pink Floyd,London,Placebo,London,,0,EMI,1,1,True
Pink Floyd,London,Seafret,Hull,,0,Columbia Records,1,1,False
Pink Floyd,London,Sex Pistols,London,,0,EMI,1,1,True
Pink Floyd,London,Spice Girls,London,,0,EMI,1,1,True
Pink Floyd,London,Starsailor,Manchester,,0,EMI,1,1,False
Pink Floyd,London,Suede,London,,0,Columbia Records,1,1,True
Pink Floyd,London,Ten Years After,Nottingham,,0,Columbia Records,1,1,False
Pink Floyd,London,Terrorvision,Leeds,,0,EMI,1,1,False
Pink Floyd,London,The Animals,Newcastle,,0,Columbia Records,1,1,False
Pink Floyd,London,The Clash,London,,0,Columbia Records,1,1,True
Pink Floyd,London,The Escape Club,London,,0,EMI,1,1,True
Pink Floyd,London,The Human League,Sheffield,,0,EMI,1,1,False
Pink Floyd,London,The Orb,London,,0,Columbia Records,1,1,True
Pink Floyd,London,The Outfield,Manchester,,0,Columbia Records,1,1,False
Pink Floyd,London,The Psychedelic Furs,London,,0,Columbia Records,1,1,True
Pink Floyd,London,The Quireboys,London,,0,EMI,1,1,True
Pink Floyd,London,The Shapeshifters,London,,0,EMI,1,1,True
Pink Floyd,London,The Stranglers,Guildford,,0,EMI,1,1,False
Pink Floyd,London,The Sweet,London,,0,Capitol Records,1,1,True
Pink Floyd,London,The Ting Tings,Manchester,,0,Columbia Records,1,1,False
Pink Floyd,London,The Vaccines,London,,0,Columbia Records,1,1,True
Pink Floyd,London,The Verve,Manchester,,0,EMI,1,1,False
Pink Floyd,London,The Yardbirds,London,,0,Columbia Records,1,1,True
Pink Floyd,London,Wham!,London,,0,Columbia Records,1,1,True
Pink Floyd,London,Wizzard,Birmingham,,0,EMI,1,1,False
Pink Floyd,London,lostprophets,Cardiff,,0,Columbia Records,1,1,False
Placebo,London,Primal Scream,Glasgow,,0,Astralwerks,1,1,False
Placebo,London,Public Image Ltd.,London,,0,Virgin Records,1,1,True
Placebo,London,Queen,London,,0,EMI,1,1,True
Placebo,London,Simple Minds,Glasgow,,0,Virgin Records,1,1,False
Placebo,London,Supergrass,Oxford,,0,EMI,1,1,False
Placebo,London,Talk Talk,London,,0,EMI,1,1,True
Placebo,London,Terrorvision,Leeds,,0,EMI,1,1,False
Placebo,London,The Boo Radleys,Liverpool,Steve Hewitt,1,,0,1,False
Placebo,London,The Chemical Brothers,Manchester,,0,Astralwerks,1,1,False
Placebo,London,The Escape Club,London,,0,EMI,1,1,True
Placebo,London,The Future Sound Of London,Manchester,,0,Astralwerks,1,1,False
Placebo,London,The Kooks,Brighton and Hove,,0,Virgin Records,1,1,False
Placebo,London,The Lightning Seeds,Liverpool,,0,Virgin Records,1,1,False
Placebo,London,The Magic Numbers,London,,0,EMI,1,1,True
Placebo,London,The Orb,London,,0,Caroline Records,1,1,True
Placebo,London,The Quireboys,London,,0,EMI,1,1,True
Placebo,London,The Rolling Stones,London,,0,Virgin Records,1,1,True
Placebo,London,The Shapeshifters,London,,0,EMI,1,1,True
Placebo,London,The Specials,Coventry,,0,Virgin Records,1,1,False
Placebo,London,The Stranglers,Guildford,,0,EMI,1,1,False
Placebo,London,The Verve,Manchester,,0,EMI,1,1,False
Placebo,London,Wizzard,Birmingham,,0,EMI,1,1,False
Placebo,London,You Me At Six,London,,0,Virgin Records,1,1,True
Pop Will Eat Itself,Birmingham,Sugababes,London,,0,RCA Records,1,1,False
Pop Will Eat Itself,Birmingham,Sundara Karma,Reading,,0,RCA Records,1,1,False
Pop Will Eat Itself,Birmingham,The Hoosiers,Bracknell Forest,,0,RCA Records,1,1,False
Pop Will Eat Itself,Birmingham,The Kinks,London,,0,RCA Records,1,1,False
Pop Will Eat Itself,Birmingham,The Sweet,London,,0,RCA Records,1,1,False
Pop Will Eat Itself,Birmingham,The Wonder Stuff,Birmingham,Fuzz Townshend,1,,0,1,True
Porcupine Tree,Dacorum,Rudimental,London,,0,Atlantic Records,1,1,False
Porcupine Tree,Dacorum,Small Faces,London,,0,Atlantic Records,1,1,False
Porcupine Tree,Dacorum,The Animals,Newcastle,,0,Atlantic Records,1,1,False
Porcupine Tree,Dacorum,The Crazy World Of Arthur Brown,London,,0,Atlantic Records,1,1,False
Porcupine Tree,Dacorum,The Darkness,Ipswich,,0,Atlantic Records,1,1,False
Porcupine Tree,Dacorum,The Joy Formidable,Cheshire West and Chester,,0,Atlantic Records,1,1,False
Porcupine Tree,Dacorum,The Rolling Stones,London,,0,Atlantic Records,1,1,False
Porcupine Tree,Dacorum,The Staves,London,,0,Atlantic Records,1,1,False
Porcupine Tree,Dacorum,The Streets,Birmingham,,0,Atlantic Records,1,1,False
Porcupine Tree,Dacorum,Yes,London,,0,Atlantic Records,1,1,False
Porcupine Tree,Dacorum,Zero 7,London,,0,Atlantic Records,1,1,False
Porcupine Tree,Dacorum,alt-J,Leeds,,0,Atlantic Records,1,1,False
Portishead,Bristol,Procol Harum,London,,0,Island Records,1,1,False
Portishead,Bristol,Pulp,Sheffield,,0,Island Records,1,1,False
Portishead,Bristol,Puressence,Manchester,,0,Island Records,1,1,False
Portishead,Bristol,Queen,London,,0,Island Records,1,1,False
Portishead,Bristol,Steel Pulse,Birmingham,,0,Island Records,1,1,False
Portishead,Bristol,Sugababes,London,,0,Island Records,1,1,False
Portishead,Bristol,The Buggles,London,,0,Island Records,1,1,False
Portishead,Bristol,The Fratellis,Glasgow,,0,Island Records,1,1,False
Portishead,Bristol,The Incredible String Band,Edinburgh,,0,Island Records,1,1,False
Portishead,Bristol,The La's,Liverpool,,0,Go! Discs,1,1,False
Portishead,Bristol,The Orb,London,,0,Island Records,1,1,False
Portishead,Bristol,The Rumble Strips,Plymouth,,0,Island Records,1,1,False
Portishead,Bristol,The Slits,London,,0,Island Records,1,1,False
Portishead,Bristol,The Spencer Davis Group,Birmingham,,0,Island Records,1,1,False
Portishead,Bristol,The Wedding Present,Leeds,,0,Island Records,1,1,False
Portishead,Bristol,Traffic,Birmingham,,0,Island Records,1,1,False
Portishead,Bristol,Ultravox,London,,0,Island Records,1,1,False
Primal Scream,Glasgow,Ride,Oxford,,0,Creation Records,1,1,False
Primal Scream,Glasgow,Saint Etienne,London,,0,Creation Records,1,1,False
Primal Scream,Glasgow,Slowdive,Reading,,0,Creation Records,1,1,False
Primal Scream,Glasgow,Super Furry Animals,Cardiff,,0,Creation Records,1,1,False
Primal Scream,Glasgow,Swervedriver,Oxford,,0,Creation Records,1,1,False
Primal Scream,Glasgow,Teenage Fanclub,Glasgow,,0,Creation Records,1,1,True
Primal Scream,Glasgow,The Boo Radleys,Liverpool,,0,Creation Records,1,1,False
Primal Scream,Glasgow,The Chemical Brothers,Manchester,,0,Astralwerks,1,1,False
Primal Scream,Glasgow,The Future Sound Of London,Manchester,,0,Astralwerks,1,1,False
Primal Scream,Glasgow,The Stone Roses,Manchester,Mani,1,,0,1,False
Primal Scream,Glasgow,The Wake,Glasgow,Bobby Gillespie,1,,0,1,True
Procol Harum,London,Pulp,Sheffield,,0,Island Records,1,1,False
Procol Harum,London,Puressence,Manchester,,0,Island Records,1,1,False
Procol Harum,London,Queen,London,,0,Island Records,1,1,True
Procol Harum,London,Savoy Brown,London,,0,Deram,1,1,True
Procol Harum,London,Sex Pistols,London,,0,A&M Records,1,1,True
Procol Harum,London,Spandau Ballet,London,,0,Chrysalis Records,1,1,True
Procol Harum,London,Squeeze,London,,0,A&M Records,1,1,True
Procol Harum,London,Stealers Wheel,Glasgow,,0,A&M Records,1,1,False
Procol Harum,London,Steel Pulse,Birmingham,,0,Island Records,1,1,False
Procol Harum,London,Steeleye Span,London,,0,Chrysalis Records,1,1,True
Procol Harum,London,Sugababes,London,,0,Island Records,1,1,True
Procol Harum,London,The Buggles,London,,0,Island Records,1,1,True
Procol Harum,London,The Colourfield,Coventry,,0,Chrysalis Records,1,1,False
Procol Harum,London,The Fratellis,Glasgow,,0,Island Records,1,1,False
Procol Harum,London,The Human League,Sheffield,,0,A&M Records,1,1,False
Procol Harum,London,The Incredible String Band,Edinburgh,,0,Island Records,1,1,False
Procol Harum,London,The Kinks,London,,0,Reprise Records,1,1,True
Procol Harum,London,The Moody Blues,Birmingham,,0,Deram,1,1,False
Procol Harum,London,The Orb,London,,0,Island Records,1,1,True
Procol Harum,London,The Police,London,,0,A&M Records,1,1,True
Procol Harum,London,The Rumble Strips,Plymouth,,0,Island Records,1,1,False
Procol Harum,London,The Slits,London,,0,Island Records,1,1,True
Procol Harum,London,The Specials,Coventry,,0,Chrysalis Records,1,1,False
Procol Harum,London,The Spencer Davis Group,Birmingham,,0,Island Records,1,1,False
Procol Harum,London,The Wedding Present,Leeds,,0,Island Records,1,1,False
Procol Harum,London,Them,Belfast,,0,Deram,1,1,False
Procol Harum,London,Traffic,Birmingham,,0,Island Records,1,1,False
Procol Harum,London,UB40,Birmingham,,0,A&M Records,1,1,False
Procol Harum,London,UFO,London,,0,Chrysalis Records,1,1,True
Procol Harum,London,Ultravox,London,,0,Island Records,1,1,True
Procol Harum,London,Uriah Heep,London,,0,Chrysalis Records,1,1,True
Procol Harum,London,Whitesnake,Middlesbrough,Peter Solley,1,,0,1,False
Procol Harum,London,World Party,London,,0,Chrysalis Records,1,1,True
Public Image Ltd.,London,Queen,London,,0,Elektra,1,1,True
Public Image Ltd.,London,Simple Minds,Glasgow,,0,Virgin Records,1,1,False
Public Image Ltd.,London,Simply Red,Manchester,,0,Elektra,1,1,False
Public Image Ltd.,London,Siouxsie and the Banshees,London,John McGeoch,1,,0,1,True
Public Image Ltd.,London,Skids,Edinburgh,Russell Webb,1,,0,1,False
Public Image Ltd.,London,Spice Girls,London,,0,Virgin Records,1,1,True
Public Image Ltd.,London,Starsailor,Manchester,,0,Virgin Records,1,1,False
Public Image Ltd.,London,Stereolab,London,,0,Elektra,1,1,True
Public Image Ltd.,London,The Clash,London,Keith Levene,1,,0,1,True
Public Image Ltd.,London,The Cure,Crawley,,0,Elektra,1,1,False
Public Image Ltd.,London,The Damned,London,Lu Edmonds,1,,0,1,True
Public Image Ltd.,London,The Fall,Manchester,Karl Burns,1,,0,1,False
Public Image Ltd.,London,The Human League,Sheffield,,0,Virgin Records,1,1,False
Public Image Ltd.,London,The Incredible String Band,Edinburgh,,0,Elektra,1,1,False
Public Image Ltd.,London,The Kooks,Brighton and Hove,,0,Virgin Records,1,1,False
Public Image Ltd.,London,The Lightning Seeds,Liverpool,,0,Virgin Records,1,1,False
Public Image Ltd.,London,The Rolling Stones,London,,0,Virgin Records,1,1,True
Public Image Ltd.,London,The Slits,London,Bruce Smith,1,,0,1,True
Public Image Ltd.,London,The Smiths,Manchester,Mike Joyce,1,,0,1,False
Public Image Ltd.,London,The Specials,Coventry,,0,Virgin Records,1,1,False
Public Image Ltd.,London,XTC,Swindon,,0,Virgin Records,1,1,False
Public Image Ltd.,London,Yes,London,,0,Elektra,1,1,True
Public Image Ltd.,London,You Me At Six,London,,0,Virgin Records,1,1,True
Pulp,Sheffield,Puressence,Manchester,,0,Island Records,1,1,False
Pulp,Sheffield,Queen,London,,0,Island Records,1,1,False
Pulp,Sheffield,Steel Pulse,Birmingham,,0,Island Records,1,1,False
Pulp,Sheffield,Sugababes,London,,0,Island Records,1,1,False
Pulp,Sheffield,The Buggles,London,,0,Island Records,1,1,False
Pulp,Sheffield,The Fratellis,Glasgow,,0,Island Records,1,1,False
Pulp,Sheffield,The Incredible String Band,Edinburgh,,0,Island Records,1,1,False
Pulp,Sheffield,The Orb,London,,0,Island Records,1,1,False
Pulp,Sheffield,The Rumble Strips,Plymouth,,0,Island Records,1,1,False
Pulp,Sheffield,The Slits,London,,0,Island Records,1,1,False
Pulp,Sheffield,The Spencer Davis Group,Birmingham,,0,Island Records,1,1,False
Pulp,Sheffield,The Wedding Present,Leeds,,0,Island Records,1,1,False
Pulp,Sheffield,Traffic,Birmingham,,0,Island Records,1,1,False
Pulp,Sheffield,Ultravox,London,,0,Island Records,1,1,False
Puressence,Manchester,Queen,London,,0,Island Records,1,1,False
Puressence,Manchester,Steel Pulse,Birmingham,,0,Island Records,1,1,False
Puressence,Manchester,Sugababes,London,,0,Island Records,1,1,False
Puressence,Manchester,The Buggles,London,,0,Island Records,1,1,False
Puressence,Manchester,The Fratellis,Glasgow,,0,Island Records,1,1,False
Puressence,Manchester,The Incredible String Band,Edinburgh,,0,Island Records,1,1,False
Puressence,Manchester,The Orb,London,,0,Island Records,1,1,False
Puressence,Manchester,The Rumble Strips,Plymouth,,0,Island Records,1,1,False
Puressence,Manchester,The Slits,London,,0,Island Records,1,1,False
Puressence,Manchester,The Spencer Davis Group,Birmingham,,0,Island Records,1,1,False
Puressence,Manchester,The Wedding Present,Leeds,,0,Island Records,1,1,False
Puressence,Manchester,Traffic,Birmingham,,0,Island Records,1,1,False
Puressence,Manchester,Ultravox,London,,0,Island Records,1,1,False
Queen,London,Simply Red,Manchester,,0,Elektra,1,1,False
Queen,London,Spice Girls,London,,0,EMI,1,1,True
Queen,London,Starsailor,Manchester,,0,EMI,1,1,False
Queen,London,Steel Pulse,Birmingham,,0,Island Records,1,1,False
Queen,London,Stereolab,London,,0,Elektra,1,1,True
Queen,London,Sugababes,London,,0,Island Records,1,1,True
Queen,London,Terrorvision,Leeds,,0,EMI,1,1,False
Queen,London,The Buggles,London,,0,Island Records,1,1,True
Queen,London,The Cure,Crawley,,0,Elektra,1,1,False
Queen,London,The Dave Clark Five,London,,0,Capitol Records,1,1,True
Queen,London,The Escape Club,London,,0,EMI,1,1,True
Queen,London,The Fratellis,Glasgow,,0,Island Records,1,1,False
Queen,London,The Human League,Sheffield,,0,EMI,1,1,False
Queen,London,The Kooks,Brighton and Hove,,0,EMI Records,1,1,False
Queen,London,The Orb,London,,0,Island Records,1,1,True
Queen,London,The Quireboys,London,,0,EMI,1,1,True
Queen,London,The Rumble Strips,Plymouth,,0,Island Records,1,1,False
Queen,London,The Shapeshifters,London,,0,EMI,1,1,True
Queen,London,The Slits,London,,0,Island Records,1,1,True
Queen,London,The Spencer Davis Group,Birmingham,,0,Island Records,1,1,False
Queen,London,The Stranglers,Guildford,,0,EMI,1,1,False
Queen,London,The Sweet,London,,0,Capitol Records,1,1,True
Queen,London,The Verve,Manchester,,0,EMI,1,1,False
Queen,London,The Wedding Present,Leeds,,0,Island Records,1,1,False
Queen,London,Traffic,Birmingham,,0,Island Records,1,1,False
Queen,London,Ultravox,London,,0,Island Records,1,1,True
Queen,London,Wizzard,Birmingham,,0,EMI,1,1,False
Queen,London,Yes,London,,0,Elektra,1,1,True
Radiohead,Oxford,Talk Talk,London,,0,Parlophone,1,1,False
Radiohead,Oxford,The Dave Clark Five,London,,0,Capitol Records,1,1,False
Radiohead,Oxford,The Horrors,London,,0,XL Recordings,1,1,False
Radiohead,Oxford,The Magic Numbers,London,,0,Capitol Records,1,1,False
Radiohead,Oxford,The Sweet,London,,0,Capitol Records,1,1,False
Radiohead,Oxford,The xx,London,,0,XL Recordings,1,1,False
Rainbow,London,Shed Seven,York,,0,Polydor Records,1,1,False
Rainbow,London,Siouxsie and the Banshees,London,,0,Polydor Records,1,1,True
Rainbow,London,Sky,London,,0,Mercury Records,1,1,True
Rainbow,London,Slade,Birmingham,,0,Polydor Records,1,1,False
Rainbow,London,Swing Out Sister,Manchester,,0,Mercury Records,1,1,False
Rainbow,London,Talk Talk,London,,0,Polydor Records,1,1,True
Rainbow,London,Tears For Fears,Bath and North East Somerset,,0,Mercury Records,1,1,False
Rainbow,London,Texas,Glasgow,,0,Mercury Records,1,1,False
Rainbow,London,The 1975,Manchester,,0,Polydor Records,1,1,False
Rainbow,London,The Beatles,Liverpool,,0,Polydor Records,1,1,False
Rainbow,London,The Cure,Crawley,,0,Polydor Records,1,1,False
Rainbow,London,The Jam,London,,0,Polydor Records,1,1,True
Rainbow,London,The Moody Blues,Birmingham,,0,Polydor Records,1,1,False
Rainbow,London,The Rolling Stones,London,,0,Polydor Records,1,1,True
Rainbow,London,The Saturdays,London,,0,Polydor Records,1,1,True
Rainbow,London,The Style Council,London,,0,Polydor Records,1,1,True
Rainbow,London,The Sweet,London,,0,Polydor Records,1,1,True
Rainbow,London,The Vamps,London,,0,Mercury Records,1,1,True
Rainbow,London,The Who,London,,0,Polydor Records,1,1,True
Rainbow,London,The Wonder Stuff,Birmingham,,0,Polydor Records,1,1,False
Rainbow,London,Uriah Heep,London,Bob Daisley,1,,0,1,True
Rainbow,London,Van Der Graaf Generator,Manchester,,0,Mercury Records,1,1,False
Rainbow,London,Whitesnake,Middlesbrough,Cozy Powell,1,,0,1,False
Rainbow,London,Yuck,London,,0,Mercury Records,1,1,True
Red Box,London,Royal Blood,Brighton and Hove,,0,Warner Bros. Records,1,1,False
Red Box,London,Sex Pistols,London,,0,Warner Bros. Records,1,1,True
Red Box,London,The Blue Nile,Glasgow,,0,Warner Bros. Records,1,1,False
Red Box,London,The Dream Academy,London,,0,Warner Bros. Records,1,1,True
Red Box,London,The Overtones,London,,0,Warner Bros. Records,1,1,True
Red Box,London,The Pretty Things,London,,0,Warner Bros. Records,1,1,True
Red Box,London,The Smiths,Manchester,,0,Warner Bros. Records,1,1,False
Red Box,London,The Who,London,,0,Warner Bros. Records,1,1,True
Red Box,London,Thompson Twins,Sheffield,,0,Warner Bros. Records,1,1,False
Red Box,London,Uriah Heep,London,,0,Warner Bros. Records,1,1,True
Red Box,London,Wizzard,Birmingham,,0,Warner Bros. Records,1,1,False
Red Lorry Yellow Lorry,Leeds,Skeletal Family,Leeds,,0,Red Rhino Records,1,1,True
Red Lorry Yellow Lorry,Leeds,The Cult,Leeds,,0,Beggars Banquet Records,1,1,True
Red Lorry Yellow Lorry,Leeds,The Fall,Manchester,Simon Archer,1,,0,1,False
Red Lorry Yellow Lorry,Leeds,Tones On Tail,Northampton,,0,Beggars Banquet Records,1,1,False
Reverend And The Makers,Sheffield,Stornoway,Oxford,,0,Cooking Vinyl,1,1,False
Reverend And The Makers,Sheffield,Supergrass,Oxford,,0,Cooking Vinyl,1,1,False
Reverend And The Makers,Sheffield,The Subways,London,,0,Cooking Vinyl,1,1,False
Reverend And The Makers,Sheffield,Underworld,London,,0,Cooking Vinyl,1,1,False
Reverend And The Makers,Sheffield,XTC,Swindon,,0,Cooking Vinyl,1,1,False
Rialto,London,Simply Red,Manchester,,0,East West Records,1,1,False
Rialto,London,The Human League,Sheffield,,0,East West Records,1,1,False
Ride,Oxford,Saint Etienne,London,,0,Creation Records,1,1,False
Ride,Oxford,Slowdive,Reading,,0,Creation Records,1,1,False
Ride,Oxford,Super Furry Animals,Cardiff,,0,Creation Records,1,1,False
Ride,Oxford,Swervedriver,Oxford,,0,Creation Records,1,1,True
Ride,Oxford,Teenage Fanclub,Glasgow,,0,Creation Records,1,1,False
Ride,Oxford,The Boo Radleys,Liverpool,,0,Creation Records,1,1,False
Ride,Oxford,The Jesus and Mary Chain,Glasgow,,0,Creation Records,1,1,False
Royal Blood,Brighton and Hove,Sex Pistols,London,,0,Warner Bros. Records,1,1,False
Royal Blood,Brighton and Hove,The Blue Nile,Glasgow,,0,Warner Bros. Records,1,1,False
Royal Blood,Brighton and Hove,The Dream Academy,London,,0,Warner Bros. Records,1,1,False
Royal Blood,Brighton and Hove,The Overtones,London,,0,Warner Bros. Records,1,1,False
Royal Blood,Brighton and Hove,The Pretty Things,London,,0,Warner Bros. Records,1,1,False
Royal Blood,Brighton and Hove,The Smiths,Manchester,,0,Warner Bros. Records,1,1,False
Royal Blood,Brighton and Hove,The Who,London,,0,Warner Bros. Records,1,1,False
Royal Blood,Brighton and Hove,Thompson Twins,Sheffield,,0,Warner Bros. Records,1,1,False
Royal Blood,Brighton and Hove,Uriah Heep,London,,0,Warner Bros. Records,1,1,False
Royal Blood,Brighton and Hove,Wizzard,Birmingham,,0,Warner Bros. Records,1,1,False
Rudimental,London,Small Faces,London,,0,Atlantic Records,1,1,True
Rudimental,London,The Animals,Newcastle,,0,Atlantic Records,1,1,False
Rudimental,London,The Crazy World Of Arthur Brown,London,,0,Atlantic Records,1,1,True
Rudimental,London,The Cure,Crawley,,0,Asylum Records,1,1,False
Rudimental,London,The Darkness,Ipswich,,0,Atlantic Records,1,1,False
Rudimental,London,The Joy Formidable,Cheshire West and Chester,,0,Atlantic Records,1,1,False
Rudimental,London,The Rolling Stones,London,,0,Atlantic Records,1,1,True
Rudimental,London,The Staves,London,,0,Atlantic Records,1,1,True
Rudimental,London,The Streets,Birmingham,,0,Atlantic Records,1,1,False
Rudimental,London,Yes,London,,0,Atlantic Records,1,1,True
Rudimental,London,Zero 7,London,,0,Atlantic Records,1,1,True
Rudimental,London,alt-J,Leeds,,0,Atlantic Records,1,1,False
Sade,London,Skunk Anansie,London,,0,Epic Records,1,1,True
Sade,London,Sky,London,,0,Epic Records,1,1,True
Sade,London,Slade,Birmingham,,0,Epic Records,1,1,False
Sade,London,Spandau Ballet,London,,0,Epic Records,1,1,True
Sade,London,Super Furry Animals,Cardiff,,0,Epic Records,1,1,False
Sade,London,Tears For Fears,Bath and North East Somerset,,0,Epic Records,1,1,False
Sade,London,The Dave Clark Five,London,,0,Epic Records,1,1,True
Sade,London,The Hollies,Manchester,,0,Epic Records,1,1,False
Sade,London,The Stranglers,Guildford,,0,Epic Records,1,1,False
Sade,London,The Vibrators,London,,0,Epic Records,1,1,True
Sade,London,Travis,Glasgow,,0,Epic Records,1,1,False
Sade,London,Wham!,London,,0,Epic Records,1,1,True
Sade,London,lostprophets,Cardiff,,0,Epic Records,1,1,False
Saint Etienne,London,Slowdive,Reading,,0,Creation Records,1,1,False
Saint Etienne,London,Stealing Sheep,Liverpool,,0,Heavenly Recordings,1,1,False
Saint Etienne,London,Super Furry Animals,Cardiff,,0,Creation Records,1,1,False
Saint Etienne,London,Swervedriver,Oxford,,0,Creation Records,1,1,False
Saint Etienne,London,Teenage Fanclub,Glasgow,,0,Creation Records,1,1,False
Saint Etienne,London,The Boo Radleys,Liverpool,,0,Creation Records,1,1,False
Saint Etienne,London,The Jesus and Mary Chain,Glasgow,,0,Creation Records,1,1,False
Saint Etienne,London,The Wytches,Peterborough,,0,Heavenly Recordings,1,1,False
Savoy Brown,London,Small Faces,London,,0,Decca,1,1,True
Savoy Brown,London,The Animals,Newcastle,,0,Decca,1,1,False
Savoy Brown,London,The Move,Birmingham,,0,Deram,1,1,False
Savoy Brown,London,The Rolling Stones,London,,0,Decca,1,1,True
Savoy Brown,London,The Who,London,,0,Decca,1,1,True
Savoy Brown,London,The Zombies,London,,0,Decca,1,1,True
Savoy Brown,London,Wishbone Ash,Torbay,,0,Decca,1,1,False
