band_a,city_a,band_b,city_b,shared_members,shared_member_count,shared_labels,shared_label_count,connection_count,same_city
Klaxons,London,The Style Council,London,,0,Geffen Records|Polydor Records,2,2,True
Led Zeppelin,London,Small Faces,London,,0,Atlantic Records|Decca,2,2,True
Led Zeppelin,London,The Animals,Newcastle,,0,Atlantic Records|Decca,2,2,False
Led Zeppelin,London,The Rolling Stones,London,,0,Atlantic Records|Decca,2,2,True
Madness,London,The Specials,Coventry,,0,2 Tone Records|Virgin Records,2,2,False
Manfred Mann's Earth Band,London,Thompson Twins,Sheffield,,0,Arista Records|Warner Bros. Records,2,2,False
Michael Schenker Group,London,Uriah Heep,London,Chris Slade,1,Chrysalis Records,1,2,True
Michael Schenker Group,London,Whitesnake,Middlesbrough,Cozy Powell|Neil Murray,2,,0,2,False
Motörhead,London,Saxon,Sheffield,Pete Gill,1,SPV GmbH,1,2,False
New Order,Manchester,Pentangle,London,,0,Reprise Records|Warner Bros. Records,2,2,False
New Order,Manchester,The Durutti Column,Manchester,,0,Factory Benelux|Factory Records,2,2,True
New Order,Manchester,The Kinks,London,,0,London Records|Reprise Records,2,2,False
New Order,Manchester,The Wake,Glasgow,,0,Factory Benelux|Factory Records,2,2,False
Oasis,Manchester,Ride,Oxford,Andy Bell,1,Creation Records,1,2,False
Oasis,Manchester,Super Furry Animals,Cardiff,,0,Creation Records|Epic Records,2,2,False
Oasis,Manchester,The Clash,London,,0,Columbia Records|Sony Music,2,2,False
Oasis,Manchester,The Dave Clark Five,London,,0,Columbia Records|Epic Records,2,2,False
Oasis,Manchester,The Kinks,London,,0,Reprise Records|Sony Music,2,2,False
Oasis,Manchester,Wham!,London,,0,Columbia Records|Epic Records,2,2,False
One Direction,London,Pink Floyd,London,,0,Columbia Records|Sony Music,2,2,True
Pale Waves,Manchester,The 1975,Manchester,,0,Dirty Hit|Interscope Records,2,2,True
Pink Floyd,London,Radiohead,Oxford,,0,Capitol Records|Parlophone,2,2,False
Pink Floyd,London,Talk Talk,London,,0,EMI|Parlophone,2,2,True
Pink Floyd,London,The Beatles,Liverpool,,0,Capitol Records|Parlophone,2,2,False
Pink Floyd,London,The Dave Clark Five,London,,0,Capitol Records|Columbia Records,2,2,True
Pink Floyd,London,The Hollies,Manchester,,0,Capitol Records|Parlophone,2,2,False
Pink Floyd,London,The Magic Numbers,London,,0,Capitol Records|EMI,2,2,True
Pink Floyd,London,The Rolling Stones,London,,0,Columbia Records|Warner Music Group,2,2,True
Pink Floyd,London,The Zombies,London,,0,Columbia Records|Tower Records,2,2,True
Placebo,London,Sex Pistols,London,,0,EMI|Virgin Records,2,2,True
Placebo,London,Spice Girls,London,,0,EMI|Virgin Records,2,2,True
Placebo,London,Starsailor,Manchester,,0,EMI|Virgin Records,2,2,False
Placebo,London,XTC,Swindon,,0,Caroline Records|Virgin Records,2,2,False
Primal Scream,Glasgow,The Jesus and Mary Chain,Glasgow,Bobby Gillespie,1,Creation Records,1,2,True
Procol Harum,London,Simple Minds,Glasgow,,0,A&M Records|Chrysalis Records,2,2,False
Procol Harum,London,Supertramp,London,,0,A&M Records|Chrysalis Records,2,2,True
Procol Harum,London,Ten Years After,Nottingham,,0,Chrysalis Records|Deram,2,2,False
Psychic TV,London,Soft Cell,Leeds,Dave Ball,1,Some Bizzare,1,2,False
Psychic TV,London,Throbbing Gristle,Hull,Genesis Breyer P-Orridge|Peter Christopherson,2,,0,2,False
Public Image Ltd.,London,Sex Pistols,London,John Lydon,1,Virgin Records,1,2,True
Queen,London,Radiohead,Oxford,,0,Capitol Records|Parlophone,2,2,False
Queen,London,Sex Pistols,London,,0,EMI|EMI Records,2,2,True
Queen,London,Talk Talk,London,,0,EMI|Parlophone,2,2,True
Queen,London,The Beatles,Liverpool,,0,Capitol Records|Parlophone,2,2,False
Queen,London,The Hollies,Manchester,,0,Capitol Records|Parlophone,2,2,False
Queen,London,The Incredible String Band,Edinburgh,,0,Elektra|Island Records,2,2,False
Queen,London,The Magic Numbers,London,,0,Capitol Records|EMI,2,2,True
Radiohead,Oxford,Supergrass,Oxford,,0,Capitol Records|Parlophone,2,2,True
Radiohead,Oxford,The Beatles,Liverpool,,0,Capitol Records|Parlophone,2,2,False
Radiohead,Oxford,The Hollies,Manchester,,0,Capitol Records|Parlophone,2,2,False
Savoy Brown,London,Ten Years After,Nottingham,,0,Decca|Deram,2,2,False
Savoy Brown,London,The Moody Blues,Birmingham,,0,Decca|Deram,2,2,False
Savoy Brown,London,Them,Belfast,,0,Decca|Deram,2,2,False
Sex Pistols,London,Simple Minds,Glasgow,,0,A&M Records|Virgin Records,2,2,False
Sex Pistols,London,Spice Girls,London,,0,EMI|Virgin Records,2,2,True
Sex Pistols,London,Starsailor,Manchester,,0,EMI|Virgin Records,2,2,False
Sex Pistols,London,The Kooks,Brighton and Hove,,0,EMI Records|Virgin Records,2,2,False
Sex Pistols,London,Wizzard,Birmingham,,0,EMI|Warner Bros. Records,2,2,False
Simple Minds,Glasgow,Supertramp,London,,0,A&M Records|Chrysalis Records,2,2,False
Simple Minds,Glasgow,The Human League,Sheffield,,0,A&M Records|Virgin Records,2,2,False
Simple Minds,Glasgow,The Specials,Coventry,,0,Chrysalis Records|Virgin Records,2,2,False
Siouxsie and the Banshees,London,The Style Council,London,,0,Geffen Records|Polydor Records,2,2,True
Sky,London,Tears For Fears,Bath and North East Somerset,,0,Epic Records|Mercury Records,2,2,False
Slade,Birmingham,Tears For Fears,Bath and North East Somerset,,0,Epic Records|Fontana Records,2,2,False
Small Faces,London,The Rolling Stones,London,,0,Atlantic Records|Decca,2,2,True
Small Faces,London,The Who,London,Kenney Jones,1,Decca,1,2,True
Spice Girls,London,Starsailor,Manchester,,0,EMI|Virgin Records,2,2,False
Spice Girls,London,The Human League,Sheffield,,0,EMI|Virgin Records,2,2,False
Starsailor,Manchester,The Human League,Sheffield,,0,EMI|Virgin Records,2,2,False
Sugababes,London,The Fratellis,Glasgow,,0,Interscope Records|Island Records,2,2,False
Sugababes,London,The Kinks,London,,0,London Records|RCA Records,2,2,True
Sugababes,London,The Rolling Stones,London,,0,Interscope Records|London Records,2,2,True
Supergrass,Oxford,Talk Talk,London,,0,EMI|Parlophone,2,2,False
