capture_key,spotify_id,wikidata_qid,band_name,spotify_expected_name,formation_qid,formation_label,instance_label,country_label
Aztec Camera [7sbwBqdkynNUDgiWU3TQ5J],7sbwBqdkynNUDgiWU3TQ5J,Q794148,Aztec Camera,Aztec Camera,Q654226,East Kilbride,musical group,United Kingdom
B-Movie [7zUgfhtNGSNLMl2ydFse4S],7zUgfhtNGSNLMl2ydFse4S,Q795108,B-Movie,B-Movie,Q841979,Mansfield,musical group,United Kingdom
B12 [66I0uUVKgpOPlEjTiy87nm],66I0uUVKgpOPlEjTiy87nm,Q795254,B12,B12,,,musical group,United Kingdom
BBC Concert Orchestra [3dIPaddbWppnquuPkcYVDg],3dIPaddbWppnquuPkcYVDg,Q2217163,BBC Concert Orchestra,BBC Concert Orchestra,,,musical group|orchestra,United Kingdom
BBC Philharmonic [1z9u3vLr7gw6IBS8CP8c2X],1z9u3vLr7gw6IBS8CP8c2X,Q795551,BBC Philharmonic,BBC Philharmonic,,,musical group|symphony orchestra,United Kingdom
BBC Scottish Symphony Orchestra [3CufywuKIBC8WhWNvzTQr1],3CufywuKIBC8WhWNvzTQr1,Q795609,BBC Scottish Symphony Orchestra,BBC Scottish Symphony Orchestra,Q22,Scotland,orchestra|symphony orchestra,United Kingdom
BBC Singers [6JP6LrgvTOWrGZvgGOjCwM],6JP6LrgvTOWrGZvgGOjCwM,Q4834962,BBC Singers,BBC Singers,,,choir,United Kingdom
BBC Symphony Orchestra [23BiSNXm5UaRFuusoWisYO],23BiSNXm5UaRFuusoWisYO,Q795630,BBC Symphony Orchestra,BBC Symphony Orchestra,Q21,England,orchestra,United Kingdom
BLKATS [0HSakR0ARVcBkILQoWUfsW],0HSakR0ARVcBkILQoWUfsW,Q134499029,BLKATS,BLKATS,,,musical group|rock band,United Kingdom
BOB [0w3zF6UJrxqI8Z6oKHwlc3],0w3zF6UJrxqI8Z6oKHwlc3,Q4836183,BOB,BOB,,,musical group,United Kingdom
BUCKLE N BOOTS [6kQhJkO8hKOSOyfhVrOJ6z],6kQhJkO8hKOSOyfhVrOJ6z,Q138667190,BUCKLE N BOOTS,BUCKLE N BOOTS,,,musical group,United Kingdom
Babe Ruth [0U04xAocTetRnA7v3TYQ2i],0U04xAocTetRnA7v3TYQ2i,Q797616,Babe Ruth,Babe Ruth,Q19788,Hatfield,musical group,United Kingdom
Baby Brave [6gOTzD5oHVgSJRdAlhKthL],6gOTzD5oHVgSJRdAlhKthL,Q140391418,Baby Brave,Baby Brave,Q496368,Wrexham,musical group,Wales
Baby Chaos [05y9Q9YweIPHzr8jFkZoOf],05y9Q9YweIPHzr8jFkZoOf,Q2878016,Baby Chaos,Baby Chaos,,,rock band,United Kingdom
Baby D [33ZOI0WTjYkLh5WuwucLhc],33ZOI0WTjYkLh5WuwucLhc,Q797832,Baby D,Baby D,,,musical group,United Kingdom
Baby Mammoth [3QM2q6SDqoM6EduVwpv5uo],3QM2q6SDqoM6EduVwpv5uo,Q24548552,Baby Mammoth,Baby Mammoth,,,musical group,United Kingdom
Babybird [1QCANeffsBIHjzhMqUIxBh],1QCANeffsBIHjzhMqUIxBh,Q116385,Babybird,Babybird,Q42448,Sheffield,musical group,United Kingdom
Babylon Zoo [3k7uMwc8FLJmH8RHMh2HF8],3k7uMwc8FLJmH8RHMh2HF8,Q696624,Babylon Zoo,Babylon Zoo,Q126269,Wolverhampton,musical group,United Kingdom
